PDB_ID,UniProt_ID
1ZK4,Q84EX5
1ZK5,Q9RH91
1ZK6,P24327
1ZK7,P00392
1ZK8,Q815X4
1ZK9,Q04863
1ZKA,Q04863
1ZKB,P0AEX9
1ZKC,Q13356
1ZKD,Q6N1P6
1ZKE,P64665
1ZKF,P62937
1ZKG,Q9X0C0
1ZKH,Q15459
1ZKI,Q9HTY7
1ZKJ,Q99QC1
1ZKK,Q9NQR1
1ZKL,Q13946
1ZKM,P30138
1ZKN,Q08499
1ZKO,Q9WY55
1ZKP,A0A6L8PRK4
1ZKQ,Q9JLT4
1ZKR,P30438
1ZKU,P10927
1ZKW,Q00496
1ZKX,Q00496
1ZKY,P03372
1ZKZ,Q9UK05
1ZL0,Q9HTZ1
1ZL1,Q6TMG6
1ZL2,P0A1F6
1ZL3,P60340
1ZL5,Q00496
1ZL6,Q00496
1ZL7,Q8AXY1
1ZL8,P90976
1ZL9,Q09596
1ZLA,P84233
1ZLB,Q8AXY1
1ZLC,P69658
1ZLD,P78737
1ZLE,P78737
1ZLF,Q7ZCL6
1ZLG,P23352
1ZLH,P00730
1ZLI,P15086
1ZLJ,P9WMF9
1ZLK,P9WMF9
1ZLL,P26678
1ZLM,Q92882
1ZLP,Q05957
1ZLQ,P33590
1ZLR,P03951
1ZLT,O14757
1ZLX,P22102
1ZLY,P22102
1ZLZ,P00448
1ZM0,P08567
1ZM1,P17989
1ZM2,P32324
1ZM3,P32324
1ZM4,P32324
1ZM5,Q47673
1ZM6,P60045
1ZM7,Q9XZT6
1ZM8,P38446
1ZM9,P32324
1ZMA,Q8DP51
1ZMB,Q97LM8
1ZMC,P09622
1ZMD,P09622
1ZME,P25502
1ZMF,Q9UNP9
1ZMG,P0AEX9
1ZMH,P59666
1ZMI,P59666
1ZMJ,P03951
1ZMK,P59666
1ZML,P03951
1ZMM,P12838
1ZMN,P03951
1ZMO,Q93MS3
1ZMP,Q01523
1ZMQ,Q01524
1ZMR,P0A799
1ZMS,Q13114
1ZMT,Q93D82
1ZMU,O08679
1ZMV,O08679
1ZMW,O08679
1ZMX,Q9XZT6
1ZMY,P00698
1ZMZ,P41208
1ZN0,P0A805
1ZN1,P0A805
1ZN2,O30989
1ZN3,Q00496
1ZN5,P03621
1ZN6,A0A0H3LKE5
1ZN7,P07741
1ZN8,P07741
1ZN9,P07741
1ZNB,P25910
1ZNC,P22748
1ZND,P11589
1ZNE,P11589
1ZNF,P08045
1ZNG,P11589
1ZNH,P11589
1ZNI,P01315
1ZNJ,P01308
1ZNK,P11589
1ZNL,P11589
1ZNM,P25490
1ZNN,Q5L3Y2
1ZNO,Q9KU27
1ZNP,A9CFG3
1ZNQ,P04406
1ZNS,Q47112
1ZNT,P27275
1ZNU,P56254
1ZNV,Q03708
1ZNW,P9WKE9
1ZNX,P9WKE9
1ZNY,P9WKE9
1ZNZ,P9WKE9
1ZO0,P54370
1ZO1,P0A705
1ZO2,Q5CQI4
1ZO4,P14779
1ZO8,Q93D82
1ZO9,P14779
1ZOA,P14779
1ZOB,P16932
1ZOD,P16932
1ZOE,P28523
1ZOF,P56876
1ZOG,P28523
1ZOH,P28523
1ZOI,Q3HWU8
1ZOK,Q62696
1ZOL,P71447
1ZOM,P03951
1ZON,P20701
1ZOO,P20701
1ZOP,P20701
1ZOQ,Q14653
1ZOR,Q9X0N2
1ZOS,Q8DQ16
1ZOT,P0DKX7
1ZOV,P23342
1ZOW,Q8NXE2
1ZOX,Q6SJQ7
1ZOY,Q0QF01
1ZP0,Q0QF01
1ZP2,O94503
1ZP3,P0AEZ1
1ZP4,P0AEZ1
1ZP5,P22894
1ZP6,A9CEJ3
1ZP7,P39792
1ZP8,O92139
1ZP9,O28471
1ZPA,P03366
1ZPB,P03951
1ZPC,P03951
1ZPD,P06672
1ZPE,P07824
1ZPG,P07824
1ZPK,Q7ZCL6
1ZPL,Q99003
1ZPQ,P03042
1ZPR,P0A884
1ZPS,O26347
1ZPT,P0AEZ1
1ZPU,P38993
1ZPV,P67382
1ZPW,Q746F4
1ZPX,Q00484
1ZPZ,P03951
1ZQ1,Q9V0T9
1ZQ3,P09081
1ZQ5,P42330
1ZQ7,Q8PZK8
1ZQ9,Q9UNQ2
1ZQA,P06746
1ZQB,P06746
1ZQC,P06746
1ZQD,P06746
1ZQE,P06746
1ZQF,P06746
1ZQG,P06746
1ZQH,P06746
1ZQI,P06746
1ZQJ,P06746
1ZQK,P06746
1ZQL,P06746
1ZQM,P06746
1ZQN,P06746
1ZQO,P06746
1ZQP,P06746
1ZQQ,P06746
1ZQR,P06746
1ZQS,P06746
1ZQT,P06746
1ZQU,P06766
1ZQV,P06766
1ZQW,P06766
1ZQX,P06766
1ZQY,P06766
1ZQZ,P06766
1ZR0,P00760
1ZR2,P03012
1ZR3,O75367
1ZR4,P03012
1ZR5,O75367
1ZR6,Q6PW77
1ZR7,O75400
1ZR8,P59071
1ZR9,O00488
1ZRB,P00734
1ZRC,P0ACJ8
1ZRD,P0ACJ8
1ZRE,P0ACJ8
1ZRF,P0ACJ8
1ZRH,O14792
1ZRI,P08523
1ZRJ,Q9BUJ2
1ZRK,P03951
1ZRL,Q25735
1ZRM,Q53464
1ZRN,Q53464
1ZRO,Q25735
1ZRP,P24297
1ZRQ,P0AEZ1
1ZRR,Q9ZFE7
1ZRS,Q9HTZ1
1ZRT,P0CY47
1ZRU,Q71AW2
1ZRV,P82357
1ZRW,P82357
1ZRX,Q8T9R8
1ZRY,P80226
1ZRZ,P41743
1ZS0,P22894
1ZS2,Q9ZEU2
1ZS4,P03042
1ZS5,Q92831
1ZS6,Q13232
1ZS7,Q9YEQ6
1ZS8,Q860W6
1ZS9,Q9UHY7
1ZSA,P00918
1ZSB,P00918
1ZSC,P00918
1ZSD,P01889
1ZSE,P03612
1ZSF,P03366
1ZSG,Q14155
1ZSH,P17870
1ZSJ,P03951
1ZSK,P03951
1ZSL,P03951
1ZSN,Q9BH77
1ZSO,Q8IDI8
1ZSP,P04179
1ZSQ,Q13614
1ZSR,P03366
1ZSV,Q14914
1ZSW,Q81H03
1ZSX,Q13303
1ZSY,Q9BV79
1ZSZ,P45206
1ZT1,P04223
1ZT2,Q97Z83
1ZT3,P08833
1ZT4,P15813
1ZT5,P08833
1ZT7,P04223
1ZT9,P0A881
1ZTA,P03069
1ZTB,P9WPY1
1ZTC,Q9WZZ6
1ZTD,Q8U363
1ZTE,P04179
1ZTF,O28471
1ZTG,Q15365
1ZTH,O28471
1ZTJ,P03951
1ZTK,P03951
1ZTL,P03951
1ZTM,P06828
1ZTN,Q03721
1ZTO,P15385
1ZTP,Q9H3H3
1ZTQ,P45452
1ZTR,P02836
1ZTS,P45923
1ZTT,P03355
1ZTU,Q9RZA4
1ZTV,Q838R9
1ZTW,P03355
1ZTX,Q91KZ4
1ZTY,Q9KUA3
1ZTZ,P03367
1ZU0,Q9KUA3
1ZU1,Q8AVN9
1ZU2,P82874
1ZU3,P45697
1ZU4,Q6MTB9
1ZU5,Q6MTB9
1ZU8,Q8SPQ0
1ZUA,O60218
1ZUB,Q9JIR4
1ZUC,P06401
1ZUD,P30138
1ZUE,P82140
1ZUF,P82140
1ZUG,P03036
1ZUH,P56073
1ZUI,P56073
1ZUK,P47068
1ZUM,P05091
1ZUN,Q87WW0
1ZUO,Q8WVN8
1ZUP,Q9X261
1ZUQ,P04179
1ZUR,P00720
1ZUT,P45697
1ZUU,P38822
1ZUV,P27275
1ZUW,P94556
1ZUX,Q5S6Z9
1ZUY,Q04439
1ZUZ,P0DP23
1ZV1,P23023
1ZV2,Q53239
1ZV4,Q9UGC6
1ZV5,P00698
1ZV6,Q08495
1ZV7,P59594
1ZV8,P59594
1ZV9,Q7WYN3
1ZVA,P59594
1ZVB,P59594
1ZVC,Q9LS03
1ZVD,Q9HAU4
1ZVE,P45697
1ZVF,P47096
1ZVG,P45697
1ZVH,P00698
1ZVI,P29476
1ZVJ,Q8GB88
1ZVK,Q8GB88
1ZVL,P29476
1ZVM,P28907
1ZVN,Q8QGH3
1ZVO,P01700
1ZVP,Q9KTT6
1ZVQ,P01112
1ZVR,Q13614
1ZVS,P61769
1ZVT,P0AFI2
1ZVU,P0AFI2
1ZVV,P25144
1ZVW,P9WFX5
1ZVX,P22894
1ZVY,P00698
1ZVZ,P12003
1ZW0,O68692
1ZW1,Q9BH77
1ZW2,P12003
1ZW3,P12003
1ZW5,P14324
1ZW6,P01112
1ZW7,P0CG63
1ZW8,P47043
1ZW9,P02829
1ZWA,P01270
1ZWB,P01270
1ZWC,P01268
1ZWD,P01270
1ZWE,P01270
1ZWF,P01270
1ZWG,P01270
1ZWH,P02829
1ZWI,P0A334
1ZWJ,Q9FK51
1ZWK,Q9I509
1ZWL,Q9I509
1ZWM,O35486
1ZWN,P00720
1ZWO,O35486
1ZWP,P59071
1ZWS,Q9UIK4
1ZWT,P33553
1ZWU,P27275
1ZWV,P11182
1ZWW,Q62420
1ZWX,Q9RLV9
1ZWY,Q9KU27
1ZWZ,P39990
1ZX1,P16083
1ZX2,P53741
1ZX3,Q82XL7
1ZX4,Q38420
1ZX5,O30200
1ZX6,Q06449
1ZX8,Q9X187
1ZX9,P00392
1ZXA,Q13976
1ZXB,Q9BH77
1ZXC,P78536
1ZXE,P15442
1ZXF,Q8KNF0
1ZXG,Q53759
1ZXH,P19909
1ZXI,P19921
1ZXJ,P75223
1ZXK,P97291
1ZXL,Q9BH77
1ZXM,P11388
1ZXN,P11388
1ZXO,Q8A1P1
1ZXQ,P13598
1ZXT,Q76RJ0
1ZXU,Q9LZX1
1ZXV,Q52NH3
1ZXX,P80019
1ZXY,P50384
1ZXZ,Q9FV53
1ZY0,Q9FV53
1ZY1,Q9FV53
1ZY2,O67198
1ZY3,Q92843
1ZY4,P15442
1ZY5,P15442
1ZY6,P32194
1ZY7,P78563
1ZY8,P09622
1ZY9,G4FEF4
1ZYB,Q89ZS6
1ZYC,P15442
1ZYD,P15442
1ZYE,P35705
1ZYI,P35521
1ZYJ,Q16539
1ZYK,P50384
1ZYL,P0C0K3
1ZYM,P08839
1ZYN,P19480
1ZYO,Q9EB08
1ZYP,P19480
1ZYQ,P00581
1ZYR,Q5SHR6
1ZYS,O14757
1ZYT,P00720
1ZYU,P9WPY3
1ZYV,P45697
1ZYW,P45697
1ZYX,P59071
1ZYZ,P21524
1ZZ0,Q70I53
1ZZ1,Q70I53
1ZZ2,Q16539
1ZZ3,Q70I53
1ZZ6,Q56185
1ZZ7,Q56185
1ZZ8,Q56185
1ZZ9,Q56185
1ZZA,O75324
1ZZB,Q56185
1ZZC,Q56185
1ZZD,P21524
1ZZE,Q9UUN9
1ZZF,P03120
1ZZG,Q5SLL6
1ZZI,P61978
1ZZJ,P61978
1ZZK,P61978
1ZZL,Q16539
1ZZM,P39408
1ZZN,P09012
1ZZP,P00519
1ZZQ,P29476
1ZZR,P29476
1ZZS,P29473
1ZZT,P29473
1ZZU,P29476
1ZZV,P13036
1ZZW,Q9Y6W6
1ZZY,P0AA25
1ZZZ,P00760
200L,P00720
201L,P00720
205L,P00720
206L,P00720
207L,P61626
208L,P61626
209L,P00720
20GS,P09211
210L,P00720
211L,P00720
212L,P00720
213L,P00720
214L,P00720
215L,P00720
216L,P00720
217L,P00720
218L,P00720
219L,P00720
21BI,P01584
220L,P00720
221L,P00720
221P,P01112
222L,P00720
223L,P00720
224L,P00720
225L,P00720
226L,P00720
227L,P00720
228L,P00720
229L,P00720
22GS,P09211
230L,P00720
231L,P00720
232L,P00720
233L,P00720
234L,P00720
235L,P00720
236L,P00720
237L,P00720
238L,P00720
239L,P00720
240L,P00720
241L,P00720
242L,P00720
243L,P00720
244L,P00720
245L,P00720
246L,P00720
247L,P00720
248L,P00720
249L,P00720
250L,P00720
251L,P00720
252L,P00720
253L,P00720
254L,P00720
255L,P00720
256B,P0ABE7
256L,P00720
257L,P00720
258L,P00720
259L,P00720
25C8,P01869
260L,P00720
261L,P00720
262L,P00720
2A00,P03960
2A02,P25184
2A05,P16563
2A06,P31800
2A07,O15409
2A08,P32793
2A0A,Q1M2P5
2A0B,P0AEC3
2A0C,P24941
2A0F,P0A786
2A0I,P14565
2A0J,Q9K082
2A0K,Q57VC7
2A0L,Q9YDF8
2A0M,Q4DSA0
2A0N,Q9X0C6
2A0Q,P00734
2A0S,A5K2B2
2A0T,P22216
2A0U,Q4Q0R9
2A0W,P00491
2A0X,P00491
2A0Y,P00491
2A0Z,O15455
2A10,P73407
2A11,P9WH03
2A13,O64527
2A14,O95050
2A15,P71817
2A18,P73407
2A19,P20459
2A1A,P20459
2A1B,P72761
2A1C,P60243
2A1D,P00735
2A1E,P03367
2A1F,P43890
2A1H,O15382
2A1I,P07992
2A1J,Q92889
2A1K,Q7Y265
2A1L,P53812
2A1M,P00183
2A1N,P00183
2A1O,P00183
2A1R,O95453
2A1S,O95453
2A1T,P11310
2A1U,P13804
2A1V,Q9RRT5
2A1W,Q99LC4
2A1X,O14832
2A1Y,Q81JJ9
2A20,Q9JIS1
2A21,O66496
2A22,Q5CYJ7
2A24,Q99814
2A25,Q8IUQ4
2A26,Q9HB71
2A27,Q9UIK4
2A28,P38822
2A29,P03960
2A2A,Q9UIK4
2A2B,P0A311
2A2C,Q01415
2A2D,Q01415
2A2F,Q9VDE6
2A2G,P02761
2A2I,O66496
2A2J,P9WIJ1
2A2K,P30305
2A2L,Q48422
2A2M,Q8A309
2A2N,Q96BP3
2A2O,Q8A309
2A2P,Q8VHC3
2A2Q,P08709
2A2R,P09211
2A2S,P09211
2A2U,P02761
2A2V,P0C247
2A2X,P00734
2A2Y,Q97ZF4
2A2Z,P27707
2A30,P27707
2A31,P00761
2A32,P00761
2A33,Q8L8B8
2A35,Q9HX10
2A36,Q08012
2A37,Q08012
2A38,Q8WZ42
2A39,P56680
2A3A,Q873X9
2A3B,Q873X9
2A3C,Q873X9
2A3E,Q873X9
2A3F,Q26241
2A3G,P01317
2A3H,O85465
2A3I,P08235
2A3J,P09012
2A3K,P35236
2A3L,O80452
2A3M,Q30WH0
2A3N,Q8ZJX7
2A3P,Q30WH0
2A3Q,Q9QY93
2A3R,P0DMM9
2A3S,P42128
2A3T,Q53239
2A3U,P0AD64
2A3V,O68847
2A3W,P02743
2A3X,P02743
2A3Y,P02743
2A3Z,P68135
2A40,P68135
2A41,P68135
2A42,P68135
2A45,P00734
2A46,Q9U6Y6
2A47,Q9U6Y6
2A48,Q9U6Y6
2A49,P0AD64
2A4A,Q7RMC9
2A4C,P55288
2A4D,Q13404
2A4E,P55288
2A4F,Q9Q2G8
2A4G,P26664
2A4H,Q9VVJ7
2A4J,P41208
2A4L,P24941
2A4M,Q9RVD6
2A4N,Q47764
2A4O,P13901
2A4Q,Q91RS4
2A4R,P27958
2A4T,P00720
2A4V,P40553
2A4W,O05205
2A4X,O05205
2A4Z,P48736
2A50,Q9GZ28
2A51,Q9Q0A3
2A52,Q9GZ28
2A53,Q9GZ28
2A54,Q9GZ28
2A55,P04003
2A56,Q9GZ28
2A57,Q9UUB1
2A58,Q9UUB1
2A59,Q9UUB1
2A5A,P0C6X7
2A5B,P02701
2A5C,P02701
2A5D,P62330
2A5E,P42771
2A5F,P62330
2A5G,P62330
2A5H,Q9XBQ8
2A5I,P0C6X7
2A5J,Q8WUD1
2A5K,P0C6X7
2A5L,Q9I509
2A5M,O35486
2A5S,Q00959
2A5T,P35439
2A5U,P48736
2A5V,P9WPJ9
2A5W,O28055
2A5X,P68135
2A5Y,P41958
2A5Z,Q8ED25
2A61,Q9WZG9
2A62,P97291
2A63,P03040
2A65,O67854
2A66,O00482
2A67,Q82ZG7
2A68,Q5SHR6
2A69,Q5SHR6
2A6A,Q9WZX7
2A6B,Q8DQK6
2A6C,Q82UW4
2A6E,Q5SHR6
2A6H,Q5SHR6
2A6K,Q6PF95
2A6L,P0A6L2
2A6M,Q933Z0
2A6N,P0A6L2
2A6O,Q933Z0
2A6P,Q7D5X2
2A6Q,P69346
2A6R,P69348
2A6S,P69348
2A6T,O13828
2A6U,P00698
2A6V,Q12396
2A6W,Q12396
2A6X,Q12396
2A6Y,P43555
2A6Z,P43555
2A70,P43555
2A71,P43555
2A72,P49802
2A73,P01024
2A74,P01024
2A75,O44049
2A78,P11233
2A79,P62483
2A7A,P81461
2A7B,P22892
2A7C,P00772
2A7D,P00698
2A7F,P00698
2A7G,P00800
2A7H,P00760
2A7I,P02883
2A7J,P00772
2A7K,Q9XB60
2A7L,Q96B02
2A7M,P0CJ63
2A7N,P20932
2A7O,Q9BYW2
2A7P,P20932
2A7Q,P27707
2A7R,Q9P2T1
2A7S,P9WQH7
2A7T,P60277
2A7U,P0ABB2
2A7W,Q7P0E6
2A7X,P9WIL5
2A7Y,P9WLD5
2A81,Q9XB60
2A83,P01889
2A84,P9WIL5
2A85,P20932
2A86,P9WIL5
2A87,P9WHH1
2A88,P9WIL5
2A89,P40859
2A8A,P30996
2A8B,Q15256
2A8C,P45148
2A8D,P45148
2A8E,Q45498
2A8F,P15569
2A8G,P02701
2A8H,P78536
2A8I,Q9H6P5
2A8J,Q9H6P5
2A8K,P18000
2A8L,Q9H6P5
2A8M,Q9H6P5
2A8N,A9CK16
2A8P,Q6TEC1
2A8Q,Q6TEC1
2A8R,Q6TEC1
2A8S,Q6TEC1
2A8T,Q6TEC1
2A8U,P16442
2A8V,P0AG30
2A8W,P16442
2A8X,P9WHH9
2A8Y,Q97W94
2A8Z,Q8RJN8
2A90,Q23985
2A91,P04626
2A92,Q4PRK9
2A93,P01106
2A94,Q27743
2A96,Q8KRU6
2A97,P30996
2A98,Q96DU7
2A99,P07850
2A9A,P07850
2A9B,P07850
2A9C,P07850
2A9D,P07850
2A9E,P77872
2A9F,Q99ZS1
2A9G,P13981
2A9H,P0A334
2A9I,Q8R4K2
2A9J,P07738
2A9K,P11233
2A9O,Q9S1K0
2A9P,Q9S1K0
2A9R,A0A0H2UQ68
2A9S,A9CJ26
2A9U,P40818
2A9V,Q9HJM3
2A9W,P0A884
2A9Y,Q9TVW2
2A9Z,Q9TVW2
2AA0,Q9TVW2
2AA1,P45718
2AA2,P08235
2AA3,Q4PRK9
2AA4,P45425
2AA5,P08235
2AA6,P08235
2AA7,P08235
2AA9,P0A6D3
2AAA,P56271
2AAC,P0A9E0
2AAD,P00651
2AAE,P00651
2AAF,P13981
2AAG,Q9EV83
2AAI,P02879
2AAJ,Q9EV83
2AAK,P25865
2AAL,Q9EV83
2AAM,Q9X1D0
2AAN,Q8RMH6
2AAO,Q06850
2AAP,P0C2X7
2AAQ,P00390
2AAR,Q9RT21
2AAS,P61823
2AAT,P00509
2AAV,P21333
2AAW,Q8ILQ7
2AAX,P08235
2AAY,P0A6D3
2AAZ,P0CS12
2AB0,Q46948
2AB1,Q9H7C9
2AB2,P08235
2AB4,Q9WZW0
2AB5,Q9ZZW7
2AB6,P28161
2AB8,Q9TVW2
2AB9,Q4GWU5
2ABA,P71278
2ABB,P71278
2ABD,P07107
2ABE,P00918
2ABH,P0AG82
2ABI,P08235
2ABJ,P54687
2ABK,P0AB83
2ABL,P00519
2ABM,P60844
2ABO,P89884
2ABQ,Q9KEM5
2ABR,P13981
2ABS,Q9TVW2
2ABW,Q8IIK4
2ABX,P60615
2ABY,Q9HK62
2ABZ,P00730
2AC0,P04637
2AC1,Q43866
2AC2,P32396
2AC3,Q9HBH9
2AC4,P32396
2AC5,Q9HBH9
2ACA,Q87NV8
2ACE,P04058
2ACF,P0C6X7
2ACG,P19984
2ACH,P01011
2ACI,P13981
2ACJ,P55265
2ACK,P04058
2ACL,P19793
2ACM,P15941
2ACO,P0A901
2ACP,Q26241
2ACQ,P15121
2ACR,P15121
2ACS,P15121
2ACT,P00785
2ACU,P15121
2ACV,Q5IFH7
2ACW,Q5IFH7
2ACX,P43250
2ACY,P41500
2ACZ,P0AC41
2AD1,O75897
2AD5,P0A7E5
2AD6,P38539
2AD7,P38539
2AD8,P38539
2AD9,P26599
2ADA,P03958
2ADB,P26599
2ADC,P26599
2ADD,Q93X60
2ADE,Q93X60
2ADF,P04275
2ADL,P62552
2ADM,P14385
2ADN,P62552
2ADO,Q14676
2ADP,P04179
2ADQ,P04179
2ADR,P07248
2ADU,P50579
2ADV,P07662
2ADX,P07204
2ADY,P04637
2ADZ,Q61234
2AE0,P0A935
2AE1,P50163
2AE2,P50163
2AE3,P07662
2AE4,P07662
2AE5,P07662
2AE6,Q839D1
2AE7,P15291
2AE8,P64373
2AE9,P0ABS8
2AEB,P05089
2AEC,P15291
2AEE,Q9A076
2AEF,O27564
2AEG,A9CLP4
2AEH,Q00944
2AEI,P08709
2AEJ,O27564
2AEK,P13513
2AEL,P13513
2AEM,O27564
2AEN,P11196
2AEO,P00442
2AEP,Q9DL16
2AEQ,Q80DL0
2AER,P08709
2AES,P15291
2AET,P13513
2AEU,Q57622
2AEV,Q57622
2AEW,P10912
2AEX,P36551
2AEY,Q93X60
2AEZ,Q93X60
2AF0,P41220
2AF2,P00441
2AF3,P38503
2AF4,P38503
2AF5,P0CL66
2AF6,P9WG57
2AF7,O26336
2AF8,Q02054
2AF9,P17900
2AFA,Q8ZKT7
2AFB,Q9WXS2
2AFC,Q8A8B0
2AFD,Q8YWG3
2AFE,Q8YWG3
2AFF,P46013
2AFG,P05230
2AFH,P07328
2AFI,P07328
2AFJ,O88838
2AFM,Q16769
2AFN,P38501
2AFO,Q16769
2AFP,P05140
2AFQ,P00734
2AFR,Q8EXP7
2AFS,Q16769
2AFT,Q8NBK3
2AFU,Q16769
2AFV,Q8EXP7
2AFW,Q16769
2AFX,Q16769
2AFY,Q8NBK3
2AFZ,Q16769
2AG0,Q9F4L3
2AG1,Q9F4L3
2AG2,P17900
2AG4,P17900
2AG5,Q9BUT1
2AG6,Q57834
2AG8,Q9K1N1
2AG9,P17900
2AGA,P54252
2AGC,Q60648
2AGD,P15291
2AGE,P00760
2AGG,P00760
2AGH,P06876
2AGI,P00760
2AGJ,P01871
2AGK,P40545
2AGL,P84888
2AGM,Q44493
2AGO,Q97W02
2AGP,Q97W02
2AGQ,Q97W02
2AGS,O44049
2AGT,P15121
2AGV,P04191
2AGW,P84888
2AGX,P84888
2AGY,P84888
2AGZ,P84888
2AH0,P84888
2AH1,P84888
2AH2,Q26966
2AH4,P00760
2AH5,A0A0H2UN22
2AH6,Q9KCH6
2AH7,Q26241
2AH8,P42212
2AH9,P15291
2AHA,P42212
2AHB,P9WNG3
2AHC,P26602
2AHD,Q58346
2AHE,Q9Y696
2AHF,Q9RC92
2AHG,Q9RC92
2AHI,P04637
2AHJ,P13448
2AHK,Q83WS2
2AHL,Q83WS2
2AHM,P0C6X7
2AHN,P50694
2AHO,Q980A5
2AHP,P03069
2AHQ,O66858
2AHR,Q9A1S9
2AHS,P23467
2AHU,Q8X5X6
2AHV,Q8X5X6
2AHW,Q8X5X6
2AHX,Q15303
2AHY,Q81HW2
2AHZ,Q81HW2
2AI0,Q6PIP8
2AI1,P55859
2AI2,P55859
2AI3,P55859
2AI5,P15452
2AI6,Q9NRX4
2AI7,Q8DP79
2AI8,P0A6K3
2AI9,P68826
2AIA,Q8DP79
2AIB,P15569
2AID,P03369
2AIE,Q8DP79
2AIG,P34179
2AIH,Q8W4Y8
2AII,Q8NBK3
2AIJ,P15289
2AIK,P15289
2AIM,P25779
2AIN,P55196
2AIO,P52700
2AIP,P09872
2AIQ,P09872
2AIR,P0A786
2AIT,P01092
2AIU,P00015
2AIV,Q02630
2AIX,P19491
2AIY,P01308
2AIZ,P10324
2AJ0,Q60048
2AJ1,Q60048
2AJ2,Q9KUP8
2AJ4,P04385
2AJ6,A0A0H3JUY4
2AJ7,Q9K6V7
2AJ8,P22411
2AJ9,P9WNG3
2AJA,Q5ZSV0
2AJB,P22411
2AJC,P22411
2AJD,P22411
2AJE,Q8L7L8
2AJF,Q9BYF1
2AJG,P07813
2AJH,P07813
2AJI,P07813
2AJJ,Q96662
2AJL,P27487
2AJM,Q96662
2AJN,Q96662
2AJO,Q96662
2AJP,O00764
2AJQ,P00581
2AJR,Q9WZT5
2AJS,Q5M842
2AJT,P08202
2AJU,Q5M842
2AJV,A2NUE8
2AJW,P56636
2AJX,Q5M842
2AJY,Q5M842
2AJZ,P01837
2AK0,P56636
2AK1,Q5M842
2AK2,P08166
2AK3,P08760
2AK4,P01889
2AK5,O55043
2AK7,O06976
2AKA,P08799
2AKC,Q8KRU6
2AKE,P23381
2AKF,O89053
2AKH,P0AG99
2AKI,P0AG99
2AKJ,P05314
2AKK,Q6N1A7
2AKL,Q9I704
2AKM,P09104
2AKO,Q9PJ29
2AKP,P02829
2AKQ,P02754
2AKR,P11609
2AKW,P27001
2AKY,P07170
2AKZ,P09104
2AL0,Q26241
2AL1,P00924
2AL2,P00924
2AL3,Q8VBT9
2AL4,P19491
2AL5,P19491
2AL6,Q00944
2AL7,Q9NVJ2
2ALA,P03315
2ALB,P30101
2ALC,P21228
2ALD,P04075
2ALE,P39990
2ALF,P62937
2ALG,P81402
2ALJ,Q5L0X5
2ALL,Q26241
2ALM,Q9FBC2
2ALP,P00778
2ALR,P14550
2ALU,P24627
2ALV,P0C6X7
2ALW,Q24451
2ALX,P69924
2ALY,P27001
2ALZ,Q9UNA4
2AM1,Q8DNV6
2AM2,Q8DNV6
2AM3,P27115
2AM4,P27115
2AM5,P27115
2AM9,P10275
2AMA,P10275
2AMB,P10275
2AMC,P27001
2AMD,P0C6X7
2AME,P19614
2AMF,Q9A1S9
2AMG,P13507
2AMI,P05434
2AMJ,P0AEY7
2AMM,Q26241
2AMN,Q6QLQ5
2AMO,O34453
2AMP,P0C6Y5
2AMQ,P0C6X7
2AMS,P80176
2AMT,P62617
2AMU,Q9WZC6
2AMV,P00489
2AMX,Q7RMV2
2AMY,O15305
2AN0,O34453
2AN1,P65774
2AN2,O34453
2AN3,P11086
2AN4,P11086
2AN5,P11086
2AN6,P61092
2AN7,P22995
2AN9,P60546
2ANB,P60546
2ANC,P60546
2ANE,P0A9M0
2ANG,P03950
2ANH,P00634
2ANI,O84835
2ANJ,P19491
2ANK,P00734
2ANL,O60990
2ANM,P00734
2ANN,P51513
2ANO,P0ABQ4
2ANP,Q01693
2ANQ,P0ABQ4
2ANR,P51513
2ANS,P04117
2ANT,P01008
2ANU,Q9WZ29
2ANV,P09963
2ANW,P03952
2ANX,P09963
2ANY,P03952
2ANZ,P00431
2AO2,P9WIB9
2AO6,P10275
2AO7,Q10741
2AO9,Q81ES4
2AOA,P62993
2AOB,P62993
2AOC,P04587
2AOD,P04587
2AOE,P04587
2AOF,P04587
2AOG,P04587
2AOH,P04587
2AOI,P04587
2AOJ,P04587
2AOP,P17846
2AOQ,P44688
2AOR,P44688
2AOS,Q8SPQ0
2AOT,P50135
2AOU,P50135
2AOV,P50135
2AOW,P50135
2AOX,P50135
2AOZ,P82950
2AP1,Q8ZPZ9
2AP2,Q6KB05
2AP3,A0A0H3JVL5
2AP6,A9CGA4
2AP7,P82285
2AP8,P82285
2AP9,P9WQ01
2APB,A2NAI0
2APC,P27115
2APF,A2NAI0
2APG,P95480
2APH,Q96LB9
2APJ,Q8L9J9
2APL,Q7MW33
2APN,P45344
2APO,Q57612
2APQ,P61823
2APR,P06026
2APS,P24702
2APT,A2NAI0
2APV,A2NAI0
2APW,A2NAI0
2APX,A2NAI0
2AQ0,Q92889
2AQ1,P04213
2AQ2,P04213
2AQ3,P04213
2AQ4,P12689
2AQ5,O89053
2AQ6,O06553
2AQ7,P0A953
2AQ8,P9WGR1
2AQ9,P0A722
2AQA,Q6Q547
2AQB,P0A953
2AQC,P81303
2AQD,P00431
2AQE,Q8CHV6
2AQF,Q8CHV6
2AQH,P9WGR1
2AQI,P9WGR1
2AQJ,P95480
2AQK,P9WGR1
